Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
tumor cells,adipocytes,0.0015243366458232625,0.0007634877872281937,0.0007608488585950688,0.8351648351648352,1.0,No
tumor cells,stroma,0.0059714704795369835,0.004931723071098002,0.0010397474084389811,0.5854145854145855,1.0,No
tumor cells,CD4+ T cells CD45RO+,0.004210049744580048,0.0015887383359598566,0.002621311408620192,0.11588411588411589,1.0,No
tumor cells,vasculature,0.00126236501105515,0.001000560950627832,0.0002618040604273179,0.6893106893106893,1.0,No
CD4+ T cells CD45RO+,Tregs,0.0006730885366338767,0.001350914589247151,-0.0006778260526132743,0.25674325674325676,1.0,No
CD4+ T cells CD45RO+,CD8+ T cells,0.0026208583654016536,0.002931601612039043,-0.0003107432466373894,0.8081918081918081,1.0,No
CD4+ T cells CD45RO+,plasma cells,0.001701190945760791,0.0008414625368694545,0.0008597284088913366,0.2897102897102897,1.0,No
CD4+ T cells CD45RO+,adipocytes,8.94671844827608e-05,0.00017417140515342452,-8.470422067066372e-05,0.5644355644355644,1.0,No
CD4+ T cells CD45RO+,CD68+CD163+ macrophages,0.005888559711818121,0.007688353758157998,-0.0017997940463398776,0.5244755244755245,1.0,No
CD4+ T cells CD45RO+,stroma,0.0034504343703685427,0.00537312404763772,-0.0019226896772691774,0.3996003996003996,1.0,No
CD4+ T cells CD45RO+,tumor cells,0.01081788013161231,0.004315150629221403,0.006502729502390907,0.3196803196803197,1.0,No
CD4+ T cells CD45RO+,CD4+ T cells CD45RO+,0.008642053588533594,0.006908636081890731,0.0017334175066428623,0.7482517482517482,1.0,No
CD4+ T cells CD45RO+,vasculature,0.0022997855309065756,0.0013274598940147594,0.0009723256368918162,0.7422577422577422,1.0,No
CD4+ T cells CD45RO+,granulocytes,0.0032694923378459523,0.002186611090099406,0.0010828812477465463,0.8381618381618382,1.0,No
vasculature,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
vasculature,CD163+ macrophages,0.0,0.0,0.0,1.0,1.0,No
vasculature,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
vasculature,CD11b+ monocytes,0.0,0.0,0.0,1.0,1.0,No
